date,exchange_rate
2011-03-08,0.9
2011-03-11,0.9
2011-03-14,0.8
2011-03-17,0.8
2011-03-20,0.7
2011-03-23,0.7
2011-03-26,0.8
2011-03-29,0.8
2011-04-01,0.8
2011-04-04,0.8
2011-04-07,0.8
2011-04-10,0.9
2011-04-13,1.1
2011-04-16,1.2
2011-04-19,1.5
2011-04-22,1.9
2011-04-25,2.6
2011-04-28,3.4
2011-05-01,3.7
2011-05-04,3.5
2011-05-07,3.4
2011-05-10,5.5
2011-05-13,6.6
2011-05-16,6.7
2011-05-19,6.6
2011-05-22,7.3
2011-05-25,8.5
2011-05-28,8.1
2011-05-31,8.7
2011-06-03,9.6
2011-06-06,14.6
2011-06-09,17.8
2011-06-12,20.3
2011-06-15,14.9
2011-06-18,13.9
2011-06-21,15.2
2011-06-24,16.1
2011-06-27,16.3
2011-06-30,16.3
2011-07-03,14.2
2011-07-06,14.1
2011-07-09,14.7
2011-07-12,14
2011-07-15,13.4
2011-07-18,13.3
2011-07-21,13.5
2011-07-24,13.4
2011-07-27,13.8
2011-07-30,11.2
2011-08-02,10.6
2011-08-05,11.3
2011-08-08,9.4
2011-08-11,10.1
2011-08-14,9.7
2011-08-17,10.1
2011-08-20,10.8
2011-08-23,10.3
2011-08-26,8.8
2011-08-29,8.7
2011-09-01,7.5
2011-09-04,6.7
2011-09-07,5.4
2011-09-10,4.8
2011-09-13,4.8
2011-09-16,4.8
2011-09-19,5.3
2011-09-22,5.2
2011-09-25,5.3
2011-09-28,4.9
2011-10-01,4.9
2011-10-04,4.5
2011-10-07,3.8
2011-10-10,3.4
2011-10-13,3.2
2011-10-16,3.2
2011-10-19,3.2
2011-10-22,3
2011-10-25,3.2
2011-10-28,3.2
2011-10-31,3.4
2011-11-03,3.2
2011-11-06,3.1
2011-11-09,3
2011-11-12,2.6
2011-11-15,2.5
2011-11-18,2.3
2011-11-21,2.3
2011-11-24,2.5
2011-11-27,2.7
2011-11-30,2.8
2011-12-03,3
2011-12-06,3.1
2011-12-09,3.2
2011-12-12,3.1
2011-12-15,3.2
2011-12-18,4.1
2011-12-21,3.8
2011-12-24,4.2
2011-12-27,4.7
2011-12-30,4.7
2012-01-02,5.3
2012-01-05,5.4
2012-01-08,6.3
2012-01-11,7.1
2012-01-14,6.7
2012-01-17,6.2
2012-01-20,6.5
2012-01-23,5.9
2012-01-26,5.8
2012-01-29,5.6
2012-02-01,5.4
2012-02-04,5.3
2012-02-07,5.3
2012-02-10,5.2
2012-02-13,4.9
2012-02-16,4.5
2012-02-19,4.8
2012-02-22,4.9
2012-02-25,5
2012-02-28,4.9
2012-03-02,5.2
2012-03-05,5
2012-03-08,5
2012-03-11,5
2012-03-14,5
2012-03-17,5.1
2012-03-20,5
2012-03-23,5.1
2012-03-26,4.9
2012-03-29,4.9
2012-04-01,4.9
2012-04-04,4.8
2012-04-07,4.8
2012-04-10,4.8
2012-04-13,4.9
2012-04-16,5
2012-04-19,5.1
2012-04-22,5
2012-04-25,5
2012-04-28,5
2012-05-01,5.1
2012-05-04,5.1
2012-05-07,5.1
2012-05-10,5.1
2012-05-13,5.1
2012-05-16,5
2012-05-19,5.1
2012-05-22,5.1
2012-05-25,5.1
2012-05-28,5.1
2012-05-31,5.2
2012-06-03,5.5
2012-06-06,5.8
2012-06-09,6.2
2012-06-12,6.4
2012-06-15,6.2
2012-06-18,6.5
2012-06-21,6.4
2012-06-24,6.5
2012-06-27,6.4
2012-06-30,6.4
2012-07-03,6.6
2012-07-06,6.6
2012-07-09,7.3
2012-07-12,7.6
2012-07-15,8.1
2012-07-18,8.4
2012-07-21,8.9
2012-07-24,9.4
2012-07-27,9
2012-07-30,9
2012-08-02,10
2012-08-05,11
2012-08-08,10.9
2012-08-11,10.4
2012-08-14,12
2012-08-17,12.9
2012-08-20,11.5
2012-08-23,11.1
2012-08-26,10.2
2012-08-29,10.5
2012-09-01,10.3
2012-09-04,10.4
2012-09-07,10.5
2012-09-10,10.6
2012-09-13,11.2
2012-09-16,11.7
2012-09-19,12.2
2012-09-22,11.7
2012-09-25,11.5
2012-09-28,12
2012-10-01,12.2
2012-10-04,12.3
2012-10-07,12.2
2012-10-10,11.9
2012-10-13,11.8
2012-10-16,11.7
2012-10-19,11.7
2012-10-22,11.5
2012-10-25,11
2012-10-28,10.6
2012-10-31,10.8
2012-11-03,10.7
2012-11-06,10.9
2012-11-09,11
2012-11-12,11
2012-11-15,11.1
2012-11-18,11.6
2012-11-21,11.8
2012-11-24,12.1
2012-11-27,12.3
2012-11-30,12.6
2012-12-03,13.3
2012-12-06,13.4
2012-12-09,13.3
2012-12-12,13.4
2012-12-15,13.3
2012-12-18,13.3
2012-12-21,13.4
2012-12-24,13.3
2012-12-27,13.3
2012-12-30,13.3
2013-01-02,13.3
2013-01-05,13.4
2013-01-08,13.6
2013-01-11,13.8
2013-01-14,14
2013-01-17,14.5
2013-01-20,15.6
2013-01-23,16
2013-01-26,16.3
2013-01-29,18.2
2013-02-01,20.4
2013-02-04,20.5
2013-02-07,22.7
2013-02-10,24.2
2013-02-13,26.5
2013-02-16,28.9
2013-02-19,28.6
2013-02-22,30.1
2013-02-25,31.5
2013-02-28,33.3
2013-03-03,34.2
2013-03-06,35.1
2013-03-09,40.2
2013-03-12,46.3
2013-03-15,47
2013-03-18,48.5
2013-03-21,57.2
2013-03-24,64.5
2013-03-27,74
2013-03-30,92
2013-04-02,100.6
2013-04-05,130.3
2013-04-08,165
2013-04-11,134.2
2013-04-14,83.1
2013-04-17,68.4
2013-04-20,118
2013-04-23,137.3
2013-04-26,128
2013-04-29,135
2013-05-02,116.4
2013-05-05,112.7
2013-05-08,113
2013-05-11,113.5
2013-05-14,117
2013-05-17,122
2013-05-20,123
2013-05-23,126
2013-05-26,132.5
2013-05-29,128.4
2013-06-01,130
2013-06-04,127
2013-06-07,110.6
2013-06-10,100.6
2013-06-13,101.6
2013-06-16,105
2013-06-19,108
2013-06-22,100.5
2013-06-25,95.2
2013-06-28,97.5
2013-07-01,90.8
2013-07-04,83.4
2013-07-07,73.7
2013-07-10,87
2013-07-13,98.7
2013-07-16,94.3
2013-07-19,86.4
2013-07-22,92.5
2013-07-25,97.3
2013-07-28,97.1
2013-07-31,105.2
2013-08-03,105.1
2013-08-06,101.3
2013-08-09,98.2
2013-08-12,102.5
2013-08-15,112.3
2013-08-18,113.5
2013-08-21,107.4
2013-08-24,120.1
2013-08-27,116.6
2013-08-30,126
2013-09-02,139.4
2013-09-05,126
2013-09-08,120.5
2013-09-11,126.5
2013-09-14,135
2013-09-17,130.3
2013-09-20,127
2013-09-23,126.2
2013-09-26,131.2
2013-09-29,131.5
2013-10-02,123.2
2013-10-05,131
2013-10-08,130
2013-10-11,130
2013-10-14,135
2013-10-17,143.5
2013-10-20,163
2013-10-23,181
2013-10-26,189
2013-10-29,203
2013-11-01,214.5
2013-11-04,235.1
2013-11-07,277
2013-11-10,316
2013-11-13,374
2013-11-16,430
2013-11-19,618
2013-11-22,775
2013-11-25,812
2013-11-28,1032
2013-12-01,1053
2013-12-04,1000
2013-12-07,810
2013-12-10,907
2013-12-13,852
2013-12-16,805
2013-12-19,680
2013-12-22,632
2013-12-25,666
2013-12-28,715
2013-12-31,754
2014-01-03,806
2014-01-06,934
2014-01-09,863
2014-01-12,852
2014-01-15,820
2014-01-18,807
2014-01-21,854
2014-01-24,807
2014-01-27,806
